created_at,full_text,year
2021-07-10,@Sunda_Fess seblak kontol,2021
2021-12-23,@SinarOnline Solusinya serahkn shja pada mereka yg baru dlantik. Biar mengkeme2 plak yg pikirkn solusinya..kann bayor gaji sedap tahu lerr orang nak mikiornye. Orang timur nunn kalau rasa brsalah n malu nak tayang muka pun rasa brdosa inikn nak cakap brjeda2..,2021
2021-05-13,kamu sebenrnya anak siapa sih? Ko kaya orang batak TF:),2021
2021-12-27,@Kishenr_ Pakai idea Timur la duh. Cilok idea orang China Taiwan Jepun Korea Mongolia Rusia,2021
2021-08-20,fh univku isinya klo ga batak ya orang kaya alias aku jd gbrani ngecircle dlu deh tkut tdk mampu prgaulannya,2021
2021-12-29,Kita butuh lebih banyak waktu bukan arloji. Interaksi perasaan bukan emoji.,2021
2021-03-21,ya Allah aku maunya cowo batak tapi mar lee kaya orang manado yang lama tinggal di jkt,2021
2021-10-30,@tvindonesiawkwk Sangat sangat penting berita dari trans 7.... kontol lah,2021
2021-12-30,@karmavantas holiwi,2021
2021-12-25,@OmbakBanyu2 Besok kaya anaknya pak jokowi ya kamu dikasih marga...jadi orang batak asli..m,2021
2021-12-23,@Munir_Timur @aniesbaswedan Arahnya sudah jelas visi misi kosong mencari sensasi. Ingin naik dengan menginjak orang lain.. Partai opo kui...,2021
2021-01-28,@nonuthecat bener kaya orang batak kalau yang itu,2021
2021-12-31,@lucas_celis Jujujujuj se sucumbe hoy,2021
2021-04-20,mama gua kan baca twt ini karna likesnya bnyk mknya gua kasi tau wkwk gua lagi seneng eh trs mama gua bacanya malah gini *baru sadari (kaya bhs.batak) trs mama gua bilang kirain itu bahasa batak dan seketika pagi2 kita ngakak bersama WKWKmungkin yg orang batak mah paham,2021
2021-12-30,@ccsapito Azul negro Roa,2021
2021-12-29,@record_mexico Ben jalad Mela Ami,2021
2021-06-11,@pawanghyunjin @collegemenfess @Realrezaa bukannn yang kita belajar mtk tp presentasi kaya ya dahhh sm bapabapa wkwkwk orang batak atau apa tau lupa bgt poko ya gua inget bgt itu buku tebel bgt gakepake sial,2021
2021-12-26,Orang Madura yang berada di Situbondo dan Bondowoso serta timur Probolinggo Jember,2021
2021-01-12,@Hujandisenja mksud istri gw biar bapak bisa cari penumpang lain jawab bapaknya keselamatan penumpang lbh penting bu aduh makasih bnyk pak jawab istri gw. di jalan bnyk ngobrol sampai istri gw bilang td di apps bapak orang batak yah? iya jawab drivenya. marganya sama kaya suami saya pak.,2021
2021-12-28,padahal sama sama orang jawa timur tp aku malah belom sempet keliling jatim sama dia,2021
2021-06-26,@kecoasilat WKWKWKWK yang bikin malu pas ditanya ditanya pake bahasa batak aku celingukan kaya orang bodoh,2021
2021-12-07,ANJJJJJJJ WONPIL JIDATAN YAALLAH SNWIBWIEEBIEEN KAYA ORANG BATAK,2021
2021-12-30,@alyza_agustina Bokep Negro,2021
2021-12-30,@devilmatsuno HAKKAI NEGRO,2021
2021-12-27,@PSSI Ini kemarin yg masuk kick andy singkat cerita perjalanan hidupnya pernah jual keset dg keuntungan 3rb per keset sekarang menjadi salah satu orang kaya di Jawa Timur.,2021
2021-11-20,@xhenjae johnnu ner bener kaya orang batak:((,2021
2021-12-28,walaupun aku bukan asia timur tapi honestly sakit hati kalau orang asia warna kulitnya diubah-ubah seenak jidat gitu,2021
2021-08-10,kaya orang batak https://t.co/fz0EKyWPfv,2021
2021-12-29,@Muse_ts yo las tengo en negro uwu,2021
2021-12-28,@ainurohman Belum menang difinal udah konperss.. Dari dulu selalu gt dan gagal di final,2021
2021-12-08,kontol gua lupa pas bahasa sunda,2021
2021-12-25,@74shaq @saifulhisyam Sopan ada had. Islam pun ajar untuk menentang pemimpin zalim. Jebat pun orang timur. Pergi mampos dengan saluran betul. Tiada saluran yang berfungsi kalau menteri kita benak dan tak prihatin.,2021
2021-12-28,heran sering bgt dikira ada keturunan orang timur (ex: Papua Maluku NTT) padahal Jawa asli,2021
2021-12-28,@Petermukiri17 @negrette_negro @OfficialFad123 Wazee Ksh6500 kwa ardhi ya bongo si ni kam Tsh17000 iv ? Au hii nyagi inaongea,2021
2021-12-21,@sheeeeeej @tiarawandrnt @Momolciao_ Ohh pantes kita jatimnya terpisah di ujung timur&amp;barat aku madiun mbak makanya bahasa jawanya lebih mirip orang solo,2021
2021-12-29,UNICEF kutuk pembunuhan 35 orang termasuk kanak-kanak di Myanmar Insiden pembunuhan dan pembakaran 35 orang termasuk empat kanak-kanak dan dua pegawai Save the Children di Timur Myanmar dikecam sekeras-kerasnya UNICEF https://t.co/KLE76vIUUf https://t.co/mFC1xNRKm2,2021
2021-12-31,@SuperCapuchita @FolcloricoAcido Laik por 30,2021
2021-10-23,@palsu_s IYAA AMARU KAYA ORANG BATAK KATANYA,2021
2021-12-28,@Gabigolsss AHAAHAHAHAHAHAHAHAHAHAHA,2021
2021-12-28,@bowmanannabelle @amyy_mejiaa Gahhh dammn!,2021
2021-07-09,@mengKameng beda sih tp kan dirikuu orang batak juga kalau ngomong sama teman kaya gitu hehe,2021
2021-12-29,@RonaldLampard8 3 periode pak Jokowi,2021
2021-11-20,@nct_menfess FIXX JOHNNY SENYUM GITU KELIATAN BGT KAYA MUKA ORANG BATAK,2021
2021-12-24,@MentalHealerid Pengen merantau gitu ke daerah indonesia timur tapi orang tua udah tua gaada yang ngurus kalau merantau,2021
2021-04-06,maybe kaya orang jawa suruh ngomong batak kali ya,2021
2021-12-28,@kwaku_kyereh Hmm mm,2021
2021-12-23,Hari ini LPBINU akan memberangkatkan team berjumlah 7 orang ke daerah Lumajang Jawa Timur.,2021
2021-12-25,Orang Barat (dan Timur) slalu ribet. Indahnya jadi orang Indon: nama ga pake gender kwkwk. Itu! Tirulah kami! Hidup kami!,2021
2021-12-30,sisi fc rey pero NO LO HABIA VISTO DE NEGRO!! WU MING??my baby wu ming??,2021
2021-12-29,Negro y moradiuks,2021
2021-12-29,@abcdefrz @dvxooo_ @garagarabola_ Biasanya orang Surabaya atau mungkin Jawa Timur kalau bilang gue jadi gua,2021
2021-07-17,2 hari yang lalu kaya jawa kemaren batak HARI INI KAYA ORANG BETAWI GW KAGAK SANGGUP,2021
2021-12-31,Ya hustle determines ya salary,2021
2021-07-09,Ada saptam komplek meninggal gr2 covid pas diusut ternyata ada nuansa penelantaran dari pengurusnya jadi nunggu urunan warga dulu baru bergerak ngerawat.. heran gua orang udah kaya tinggal di komplek napa gak nalangin dulu sih?!?!?!?!?,2021
2021-11-02,@nur_iqbalsyah Kaannn orang kaya tak show off duit bal orang batak je camtu hahaha,2021
2021-12-28,Playa pinta,2021
2021-12-22,Pelaku berjumlah dua orang berinisial AW (38) dan RS (38) melakukan pencurian 30 karung beras di warung milik Daryono (46) yang berlokasi di Kelurahan Pringsewu Timur Senin (7/12). #publisherstory https://t.co/oTCQWu4jPP,2021
2021-06-21,Kebanyakan orang bilang logat gue bukan kaya logat sini lah kan gue bukan asli orang sini gimana sih.. Banyak yg ngira juga gue bukan orang jawa Logatku mirip orang batak ceunah,2021
2021-12-29,Magapahibalo ang resort kun san-o liwat ini nga maga bukas. https://t.co/40M9URNcx5,2021
2021-12-21,Belinda Prasasti merupakan anak perempuan semata wayang dari pasangan Laksono Putra dan Arshita Lestari. Belinda merupakan gadis keturunan timur tengah eits tetapi bukan Timur Tengah seperti yang kebanyakan orang kira.,2021
2021-01-26,Galakan adek malah. Dia klo marah kaya orang kesurupan. Beneran nurun umik gimana sih marahnya orang batak tuh. Beuh rasanya dunia kek mau kiamat. Tapi kalau tanggungjawab ya itu porsinya anak pertama,2021
2021-12-31,sumin pelo negro nooooo,2021
2021-12-27,Data survei kepuasan publik terhadap kinerja pemerintah Jokowi meningkat tajam selama beberapa bulan terakhir.Tingginya tingkat kepuasan ini tidak lepas dari usaha pemerintah dalam mengendalikan penyebaran covid-19 dan pemulihan ekonomi nasional. #RakyatPuasTerhadapJokowi https://t.co/mzGARTsd4C,2021
2021-10-25,@Ayah_Nahl @yudigembor @sahaL_AS Sejak kapan cara bunuh anjing kaya gitu? Serius sya nanya ente orang batak atau bukan?,2021
2021-12-29,@surly_nz Bruh...,2021
2021-10-17,@OLlVIARODRGO Namanya kaya orang batak,2021
2021-12-27,Scrolling down the tweets baru tahu yg menulisnya adalah orang nusantara jawa timur. Tak ada kaitan dgn ilmu agama. Kena clarify benda ni takut jatuh fitnah kpd agama je.,2021
2021-06-20,@noferdaoliasari @tkwpcnfak @YG_iKONIC Muka yg kaya orang Batak tu member Day6 woonpil gak si?? Junedi malah kaya keturunan Eropa. Tapi matanya sipit gak bisa boong,2021
2021-12-24,@jeremypeter_ @barcastuff_idn Biasanya orang yang pake Henna dari timur tengah atau India sih kalau gak salah,2021
2021-08-24,@macchhiato @pforqwerty @haejanie @AREAJULID Aku juga orang asli Medan melayu malah Logat medan ya kaya ngomong biasa kek orang sumatera laen kalo cakap cemana sedangkan kalo logat batak lebih ada nadanya lebih keras jugak.,2021
2021-12-30,GANG GANG,2021
2021-12-22,Pagi tadi Rabu (22/12/2021) personel @satlantasklp membantu mendorong gerobak pedagang kaki lima saat menyeberangi perlintasan kereta api di Teteg Timur Wates. . Dan berbuat baiklah (kepada orang lain) sebagaimana Allah telah berbuat baik kepadamu. (QS al-Qashash [28]: 77) https://t.co/AkMKNjI9KS,2021
2021-08-31,@salembeee @Sunda_Fess Jiga nu boga kontol wae,2021
2021-12-26,@SiaranBolaLive Main main sama orang timur nanti di ludahi nangeees,2021
2021-12-31,@LARIK28 de 3 colores akhfkshf gris negro y azul kahfksjf,2021
2021-12-24,@keuangannews_id Islam Nusantara Adalah Islam Yang Sejati Bukan Islam Abal-2 Model Timur Tengah (Arab) Yang Datang Sebagai Penjajah Orang bilang begini jelas sesat Islamnya.. https://t.co/XekiilFSFZ,2021
2021-12-28,@splenextic tapi kaya org negro gaksih,2021
2021-12-22,Mau melakukan aktivitas air ekstrim Anda perlu mencoba keseruan #rafting #tubing di Jawa Timur harga mulai 500Rb /orang || Climax Adventure,2021
2021-06-20,@svshitay biar apa kaya sih kaya gitu orang? Biar dilirik mau panggung lo yah? atau lo capek cari mutualan sana sini kaga dapet makanya kaya gini? Astaga emosi tau gak jgn ampe bahasa batak gue keluar disini yahnyuwimc,2021
