created_at,full_text,year
2024-01-14,Cewe bnyk yg ribet ya anjing. Laki kalo dipanggil bapak atau mas perasaan bnyk yg seneng,2024
2024-02-12,@Erine_JKT48 CANTIKK BANGET SI,2024
2024-01-23,@ulfija pdhl gua yg jawir,2024
2024-02-16,Modal tampang mas2 jawir usia 30an yg sok dewasa dan sok kalem no longer get my attention mas its so last season poll tenan. As a pure blood mbak2 jawir myself aku sudah muaaak nyawang polahmu sing jebule ra karuan Dear ladies jangan mau ketipu modelan orang diatas ya,2024
2024-04-28,Tak asa kesedihan yang sia-sia #jokpin,2024
2024-02-09,@urfavocaaa Anjir kek mau panen sawit,2024
2024-03-29,dimanakah akan ku cari pengganti mas mas jawir solo itu,2024
2024-04-28,Tapi... Apapapun Alhamdulillah.,2024
2024-03-26,@smgtkajja anjirrr ini mah tanya nf aja,2024
2024-01-22,@jelyejs lo china gua jawir,2024
2024-02-28,@unnesmenfess Aku ada nder ambil di kos 7k https://t.co/vdu6qvs1ZR,2024
2024-03-21,Bestie jawir katanya,2024
2024-02-21,@SugrRsh Cihh jare kepo malah di kei ngerti,2024
2024-01-26,@xxlotus69 Hehe. Koko jawir,2024
2024-02-22,Suara topan jawir bgt T-T,2024
2024-02-23,@syz_767 @TwtBolaPahang @frfuturetalents So? Tapi malaydesh kau tak mencerminkan negara pintar pun hahah.. meleis meleis keling ni berangan je,2024
2024-01-28,@unnesmenfess Donat doping nder. Yg matcha enakk https://t.co/yUySSSmr0j,2024
2024-02-25,Kenapa orang jawir tidak lagi menggunakan nama-nama jawa fancy seperti Hadikusumo Pranotonegoro atau Tjokroaminoto Sutanto ya? Malah sekarang kalau nama jawa fancy itu identik dengan Chindo. *nama jawa fancy muncul* Chindo ya kak? asli mana kak?,2024
2024-02-05,@dukeofsemarang @bisayukbisa_ @BoyzFess_ jujur iyaa lucuan sendernya juga,2024
2024-01-04,@tartagIiac jawir,2024
2024-01-24,@Miduk17 Beras habis paling sebulan. 5tahun setelahnya belum tentu bisa kenyang dan bahagia,2024
2024-02-18,jawir:,2024
2024-02-27,@tanyarlfes Bayar mahar si cowo,2024
2024-03-31,@B3JOpkl1 @xquitavee @prabowo Fix! Buzzer 02 penyepong si anak JAWIR haram konstitusi depresi sampe harus fitnah dg modal judul click bait Emg representasi IQ rata-rata 78 lu pada Korup teriak korup: msh terpantau blm ada yg bisa bantah DIRTY VOTE Gk usah berkilah sana sini https://t.co/SMSJ9tJdy9,2024
2024-03-24,nda semua jawir paham wkwk,2024
2024-03-30,masih ada mabar,2024
2024-01-21,@memelord_666666 LEMBUR NYEBOKIN EL NEPOTIS,2024
2024-02-25,@tvOneNews Karena kaleaaann semua 1 circle,2024
2024-01-27,@18fesss Di remes si biar kaya mie kremes,2024
2024-01-05,@avoskinbeauty jawir gal unite https://t.co/WpK0p1Y6ss,2024
2024-06-01,@oiksyw @misandirist rasis,2024
2024-02-11,@rsucadvfm1ur5 @burhanrp @maysavitri @DokFun @Ummu4R Iya jawir iya yang 2014-2019 milih presiden terburuk sepanjang masa kan kalian juga,2024
2024-02-25,so true bulan ini abis 700k+ buat beli 4 buku (3 fisik 1 kindle),2024
2024-05-31,Saa hii ndio hawa wasichana wanajifanya wanapenda dark men tukiwa wadogo tuliona dust mbaya buana they chose hawa light skin niggas wengine wakisema wataolewa na wazungu,2024
2024-02-28,@alifandarta_ makanya mabar,2024
2024-06-01,Mereka itu bangsa fasis rasis dan arogan kepada non yahudi https://t.co/czk1Cv2j7J,2024
2024-01-27,@universeisaaaaa Capek duduk ?,2024
2024-03-24,@mlbbfess Keringat sendiri dong wkwk,2024
2024-03-23,jawir buff https://t.co/zN4zIfrKl3,2024
2024-05-04,@yusufagro @jawir_solo @aniesbaswedan Mestinya pertanyaan itu anda tanyakan langsung ke orangnya bukan ke orang lain,2024
2024-02-23,@timpenguinnas Anjay topan dasar jamet jawir,2024
2024-02-15,@IbnRincek Iya bung makanya saya hanya perkiraan 2% dari total suara bukan 20% apalagi 30% wkwkwkwkw. Tapi 2% itu sendiri udah 1 jtan orang dan itu luar biasa menurut saya.,2024
2024-01-31,@alfarisi010 Buat traspot 150 tapi nanti yg megang sirekap bakal ada tambahan klo gaji pas jaganya 1 1 jt,2024
2024-02-27,Wkwkwkkwkwkwkwk SIAP TUAN,2024
2024-01-27,@cixfeb Karna segerrr,2024
2024-06-01,@rllyondee @gl0ryg1rlwrld gayyy ahhh nigga cuh,2024
2024-04-27,Wonhee adalah penerus wonyoung,2024
