created_at,full_text,year
2020-03-16,Dah ah kontol semua !,2020
2020-04-16,@ChrisBiebersosi temen saya dari Malaysia menyukai kontol nya kakak kakak Indonesia lho ...,2020
2020-05-02,Lagu Sunda yang aku suka adalah DOEL SUMBANG-KONDOM kalian harus dengerin y kontol,2020
2020-03-15,@LmaoWhofi @jiansblh KONTOL,2020
2020-10-24,@kanmaend Emang kontol sumber utama masalah nih,2020
2020-02-27,@moodboostrmu Kenapa akhiran nya pada kontol? :(,2020
2020-10-06,DPR KONTOL HIDUP SUNDA EMPIRE,2020
2020-10-14,Selamat hari kontol https://t.co/w46uTnC2aG,2020
2020-08-04,@g00dgirllll ai basa sunda na kontol kanjut lain,2020
2020-03-23,@diobatin Pan kontol sunda bau seblak,2020
2020-10-07,@bundasemoxxx Tah mba kalo yg mau berurat mah kontol fafua https://t.co/TQOoj15uVG,2020
2020-10-12,Satu kata buat orang kek gini KONTOL https://t.co/IqACITTdOO,2020
2020-06-12,Mana nih Sunda empire belio hrs segera menata ulang tatanan dunia yg baru... Biar lagu lagu yg merusak manusia segera di bumi hangus kan. ️ NAIK NAIK KE PUNCAK GUNUNG TINGGI TINGGI SEKALI.. KULIHAT SAJA BANYAK POHON CEMARA ... WOI Otak KONTOL !,2020
2020-09-01,@yaaruya @bonevenue @rakajunico si kontol panjang,2020
2020-05-10,@hausperhatianmu Klo mas² jawa = joko Klo aa² sunda = jaka Klo kontol = jawa Klo kantal = sunda Maap lg blur pikirannya,2020
2020-10-09,@rilmugiwara @Benedictus_____ @tabul_ian @bayuprasetypo @mainmlteross @bogorfess_ Dasar manusia kontol salah tanggep kemaren org yg belain lo yg pake bahasa sunda malah di hate jg em rupanya canaboy manusia tertolol dibumi untuk kategori autis perobservasian,2020
2020-03-21,@rakajunico Kontol,2020
2020-03-21,@nadiaameliaab Iyah aku nunggu nasgor eh temen aku malah minum di dalem mobil kan kontol :'),2020
2020-11-14,Kontol,2020
2020-11-01,Heran deh empet banget sama yang nulis apa apa di tambahin k aak apa coba anj aa dalam bahasa sunda (kakak laki²) gapake k kontol https://t.co/I1rs4lL3O8,2020
2020-07-02,Sunda kontol lagi ngomong dulur https://t.co/Nwd2wtfulw,2020
2020-07-14,@subtanyarl Mamas itu bahasa Sunda yang lemesnya kontol,2020
2020-08-15,@ursweetbf Kontol :(,2020
2020-08-10,@macan_sunda @endelendelz Nih kontol nih,2020
