created_at,full_text,year
2023-12-03,@Oscarm23sw demasiado rika bb,2023
2023-12-03,HAJWJAHSJAHHA SALOMOOOOOOOOOOOOOOOOON,2023
2023-12-04,@htpssmori @sweetenrafa @lucasttlapa TANTO A DAR AKSKSSKKAKSKAKSSKSLSKSLKAKSKSKSKSLSKSKKSLA,2023
2023-10-15,@santagesikk @08berapaka @sapsaproll3 eh mommy kontol. kau masi dijawa anying emg ancol kau kira di jawa mommy,2023
2023-07-29,@SUNDA_FESS KANU KONTOL MAH GARESIT:(( KUNCI L,2023
2023-11-29,@mixlucu Seberapa Jawir kamu,2023
2023-12-04,@Jajajsj44519555 @botafogomemes Print,2023
2023-11-23,@AdaAnambra2023 Ada Lagos Ada Ogun Ada PH Ada Bayelsa Ada Kano Ada Borno Ada Niger Ada kogi Ada Oyo Ada Rivers Infact ADA 31 States and Abuja except the GBAJUE STATES,2023
2023-03-11,@SUNDA_FESS a kadie hela kedap ah kontol,2023
2023-11-28,Niger yabatilisha sheria iliyokusudiwa kukomesha wimbi la uhamiaji barani Ulaya https://t.co/P0UfwD7vwh https://t.co/fgctWC8dnc,2023
2023-06-05,@ujekgnasip Mamas tuh bahasa sunda halus untuk kontol tau,2023
2023-11-29,@zemacchiato Gak gawe,2023
2023-11-25,@Almoustaph84153 @ArmeesNiger @PresidenceNiger @cnsp_niger @Nath_Yamb @amir_nourdine @AnticorpsS43229 @FranklinNYAMSI @Silboyofficiell Wangari?,2023
2023-12-03,papai noel negro,2023
2023-12-03,@negrette_negro @CloudsMediaLive Huyo jamaa katoa ngoma na Diamond si ajabu awajai hata kuicheza hata mara moja lakini mtu kapata changamoto ya afya ya akili wanamchukua haraka kumfanya content media zetu zimeapoteza wale watu waadilifu,2023
2023-11-29,yaAllah aku bosan dengan hidup ini akhhhhhhhh,2023
2023-12-05,@inkthatoo Ska jumpisa https://t.co/c6XwutNfo9,2023
2023-12-03,Mkkkkk pprt tmnc,2023
2023-12-05,Sibuya khashane man!,2023
2023-10-25,Si kontol gede https://t.co/uiJQuZxUBX,2023
2023-11-29,@wangyuann_ Kok bisa Jgn lupa makan ma minum obat,2023
2023-11-29,@eightymiles_ penting ora jawir king,2023
